Evaluation_Method,Window_Size_seconds,Stride,Stride_Numeric,Binary_F1_Score,Binary_Accuracy,Binary_Precision,Binary_Recall,Multiclass_F1_Score,Multiclass_Accuracy,Word_Level_F1_Score,IoU_F1_Score,Mean_IoU_Percentage
iou_word_sep,1.9,1.5,1.5,0.2117,0.371,0.1256,0.6723,,,0.1739,0.0653,
window,1.9,1.5,1.5,0.2117,0.371,0.1256,0.6723,0.3179,0.4007,,,
word,1.9,1.5,1.5,0.2117,0.371,0.1256,0.6723,,,0.1739,,
iou,1.9,1.85,1.85,0.2107,0.3577,0.1234,0.7215,,,0.1761,0.0765,21.73
iou_word_sep,1.9,1.85,1.85,0.2107,0.3577,0.1234,0.7215,,,0.1761,0.0765,
window,1.9,1.85,1.85,0.2107,0.3577,0.1234,0.7215,0.33,0.4254,,,
word,1.9,1.85,1.85,0.2107,0.3577,0.1234,0.7215,,,0.1761,,
iou,1.9,1.05,1.05,0.2102,0.3638,0.1237,0.6984,,,0.1595,0.0755,30.84
iou_word_sep,1.9,1.05,1.05,0.2102,0.3638,0.1237,0.6984,,,0.1595,0.072,
window,1.9,1.05,1.05,0.2102,0.3638,0.1237,0.6984,0.3009,0.4167,,,
word,1.9,1.05,1.05,0.2102,0.3638,0.1237,0.6984,,,0.1595,,
iou,1.9,20.0%,0.2,0.2097,0.3626,0.1234,0.6956,,,0.1705,0.0648,41.69
iou_word_sep,1.9,20.0%,0.2,0.2097,0.3626,0.1234,0.6956,,,0.1705,0.0643,
window,1.9,20.0%,0.2,0.2097,0.3626,0.1234,0.6956,0.3087,0.4073,,,
word,1.9,20.0%,0.2,0.2097,0.3626,0.1234,0.6956,,,0.1705,,
iou,1.9,1.35,1.35,0.2094,0.3714,0.1233,0.695,,,0.1578,0.0731,26.32
iou_word_sep,1.9,1.35,1.35,0.2094,0.3714,0.1233,0.695,,,0.1578,0.0731,
window,1.9,1.35,1.35,0.2094,0.3714,0.1233,0.695,0.3188,0.3927,,,
word,1.9,1.35,1.35,0.2094,0.3714,0.1233,0.695,,,0.1578,,
iou,1.9,30.0%,0.3,0.2093,0.3645,0.1233,0.6919,,,0.1809,0.0666,34.49
iou,1.9,60.0%,0.6,0.2093,0.3614,0.1234,0.6894,,,0.1565,0.0755,30.15
iou_word_sep,1.9,30.0%,0.3,0.2093,0.3645,0.1233,0.6919,,,0.1809,0.0679,
iou_word_sep,1.9,60.0%,0.6,0.2093,0.3614,0.1234,0.6894,,,0.1565,0.0737,
window,1.9,30.0%,0.3,0.2093,0.3645,0.1233,0.6919,0.3062,0.408,,,
window,1.9,60.0%,0.6,0.2093,0.3614,0.1234,0.6894,0.2934,0.3956,,,
word,1.9,30.0%,0.3,0.2093,0.3645,0.1233,0.6919,,,0.1809,,
word,1.9,60.0%,0.6,0.2093,0.3614,0.1234,0.6894,,,0.1565,,
iou,1.9,10.0%,0.1,0.2091,0.363,0.1232,0.691,,,0.1741,0.0577,54.49
iou_word_sep,1.9,10.0%,0.1,0.2091,0.363,0.1232,0.691,,,0.1741,0.0598,
window,1.9,10.0%,0.1,0.2091,0.363,0.1232,0.691,0.3073,0.4062,,,
word,1.9,10.0%,0.1,0.2091,0.363,0.1232,0.691,,,0.1741,,
iou,1.9,1.4,1.4,0.2086,0.3627,0.123,0.686,,,0.1677,0.079,26.74
iou_word_sep,1.9,1.4,1.4,0.2086,0.3627,0.123,0.686,,,0.1677,0.079,
window,1.9,1.4,1.4,0.2086,0.3627,0.123,0.686,0.2957,0.3898,,,
word,1.9,1.4,1.4,0.2086,0.3627,0.123,0.686,,,0.1677,,
iou,1.9,1.9,1.9,0.208,0.368,0.1229,0.6761,,,0.1127,0.063,18.66
iou,1.9,100.0%,1.0,0.208,0.368,0.1229,0.6761,,,0.1127,0.063,18.66
iou_word_sep,1.9,1.9,1.9,0.208,0.368,0.1229,0.6761,,,0.1127,0.0615,
iou_word_sep,1.9,100.0%,1.0,0.208,0.368,0.1229,0.6761,,,0.1127,0.0615,
window,1.9,1.9,1.9,0.208,0.368,0.1229,0.6761,0.2813,0.3953,,,
window,1.9,100.0%,1.0,0.208,0.368,0.1229,0.6761,0.2813,0.3953,,,
word,1.9,1.9,1.9,0.208,0.368,0.1229,0.6761,,,0.1127,,
word,1.9,100.0%,1.0,0.208,0.368,0.1229,0.6761,,,0.1127,,
iou,1.9,1.45,1.45,0.2075,0.3692,0.1227,0.6715,,,0.1508,0.0788,26.47
iou_word_sep,1.9,1.45,1.45,0.2075,0.3692,0.1227,0.6715,,,0.1508,0.081,
window,1.9,1.45,1.45,0.2075,0.3692,0.1227,0.6715,0.3123,0.4107,,,
word,1.9,1.45,1.45,0.2075,0.3692,0.1227,0.6715,,,0.1508,,
iou,1.9,1.15,1.15,0.207,0.3596,0.1219,0.6839,,,0.1573,0.067,28.91
iou,1.9,1.75,1.75,0.207,0.365,0.1221,0.6793,,,0.1833,0.0795,22.32
iou_word_sep,1.9,1.15,1.15,0.207,0.3596,0.1219,0.6839,,,0.1573,0.0689,
iou_word_sep,1.9,1.75,1.75,0.207,0.365,0.1221,0.6793,,,0.1833,0.0795,
window,1.9,1.15,1.15,0.207,0.3596,0.1219,0.6839,0.3054,0.409,,,
window,1.9,1.75,1.75,0.207,0.365,0.1221,0.6793,0.3011,0.3991,,,
word,1.9,1.15,1.15,0.207,0.3596,0.1219,0.6839,,,0.1573,,
word,1.9,1.75,1.75,0.207,0.365,0.1221,0.6793,,,0.1833,,
iou,1.9,1.55,1.55,0.2062,0.3639,0.1214,0.6859,,,0.1714,0.0707,24.5
iou_word_sep,1.9,1.55,1.55,0.2062,0.3639,0.1214,0.6859,,,0.1714,0.0683,
window,1.9,1.55,1.55,0.2062,0.3639,0.1214,0.6859,0.3182,0.4198,,,
word,1.9,1.55,1.55,0.2062,0.3639,0.1214,0.6859,,,0.1714,,
iou,1.9,1.3,1.3,0.2053,0.3612,0.1207,0.6857,,,0.1565,0.0622,26.17
iou_word_sep,1.9,1.3,1.3,0.2053,0.3612,0.1207,0.6857,,,0.1565,0.0632,
window,1.9,1.3,1.3,0.2053,0.3612,0.1207,0.6857,0.3037,0.4038,,,
word,1.9,1.3,1.3,0.2053,0.3612,0.1207,0.6857,,,0.1565,,
iou,1.9,1.2,1.2,0.2044,0.3591,0.1203,0.6794,,,0.1487,0.0651,28.72
iou_word_sep,1.9,1.2,1.2,0.2044,0.3591,0.1203,0.6794,,,0.1487,0.0632,
window,1.9,1.2,1.2,0.2044,0.3591,0.1203,0.6794,0.2947,0.3947,,,
word,1.9,1.2,1.2,0.2044,0.3591,0.1203,0.6794,,,0.1487,,
iou,1.9,1.8,1.8,0.2043,0.3613,0.1199,0.6914,,,0.1695,0.082,21.55
iou_word_sep,1.9,1.8,1.8,0.2043,0.3613,0.1199,0.6914,,,0.1695,0.0807,
window,1.9,1.8,1.8,0.2043,0.3613,0.1199,0.6914,0.295,0.375,,,
word,1.9,1.8,1.8,0.2043,0.3613,0.1199,0.6914,,,0.1695,,
iou,1.9,70.0%,0.7,0.2033,0.351,0.1196,0.677,,,0.1697,0.0761,28.16
iou_word_sep,1.9,70.0%,0.7,0.2033,0.351,0.1196,0.677,,,0.1697,0.0699,
window,1.9,70.0%,0.7,0.2033,0.351,0.1196,0.677,0.3279,0.4052,,,
word,1.9,70.0%,0.7,0.2033,0.351,0.1196,0.677,,,0.1697,,
iou,1.9,1.1,1.1,0.1966,0.3485,0.1153,0.6667,,,0.1593,0.0722,29.74
iou_word_sep,1.9,1.1,1.1,0.1966,0.3485,0.1153,0.6667,,,0.1593,0.0695,
window,1.9,1.1,1.1,0.1966,0.3485,0.1153,0.6667,0.2852,0.3961,,,
word,1.9,1.1,1.1,0.1966,0.3485,0.1153,0.6667,,,0.1593,,
iou,2.0,1.7,1.7,0.2333,0.3756,0.1382,0.7493,,,0.1713,0.0701,22.01
iou_word_sep,2.0,1.7,1.7,0.2333,0.3756,0.1382,0.7493,,,0.1713,0.0714,
window,2.0,1.7,1.7,0.2333,0.3756,0.1382,0.7493,0.266,0.3636,,,
word,2.0,1.7,1.7,0.2333,0.3756,0.1382,0.7493,,,0.1713,,
iou,2.0,1.25,1.25,0.2282,0.382,0.1361,0.7053,,,0.1596,0.0687,27.22
iou_word_sep,2.0,1.25,1.25,0.2282,0.382,0.1361,0.7053,,,0.1596,0.0697,
window,2.0,1.25,1.25,0.2282,0.382,0.1361,0.7053,0.2559,0.3565,,,
word,2.0,1.25,1.25,0.2282,0.382,0.1361,0.7053,,,0.1596,,
iou,2.0,1.9,1.9,0.224,0.3714,0.1331,0.7057,,,0.18,0.0634,19.12
iou_word_sep,2.0,1.9,1.9,0.224,0.3714,0.1331,0.7057,,,0.18,0.0662,
window,2.0,1.9,1.9,0.224,0.3714,0.1331,0.7057,0.2588,0.3745,,,
word,2.0,1.9,1.9,0.224,0.3714,0.1331,0.7057,,,0.18,,
iou,2.0,1.0,1.0,0.2223,0.3641,0.1316,0.7147,,,0.1738,0.0791,28.12
iou,2.0,50.0%,0.5,0.2223,0.3641,0.1316,0.7147,,,0.1738,0.0791,28.12
iou_word_sep,2.0,1.0,1.0,0.2223,0.3641,0.1316,0.7147,,,0.1738,0.0693,
iou_word_sep,2.0,50.0%,0.5,0.2223,0.3641,0.1316,0.7147,,,0.1738,0.0693,
window,2.0,1.0,1.0,0.2223,0.3641,0.1316,0.7147,0.293,0.3946,,,
window,2.0,50.0%,0.5,0.2223,0.3641,0.1316,0.7147,0.293,0.3946,,,
word,2.0,1.0,1.0,0.2223,0.3641,0.1316,0.7147,,,0.1738,,
word,2.0,50.0%,0.5,0.2223,0.3641,0.1316,0.7147,,,0.1738,,
iou,2.0,1.95,1.95,0.2222,0.3737,0.1327,0.6828,,,0.167,0.0654,17.96
iou_word_sep,2.0,1.95,1.95,0.2222,0.3737,0.1327,0.6828,,,0.167,0.0639,
window,2.0,1.95,1.95,0.2222,0.3737,0.1327,0.6828,0.233,0.3673,,,
word,2.0,1.95,1.95,0.2222,0.3737,0.1327,0.6828,,,0.167,,
iou,2.0,1.5,1.5,0.2218,0.3753,0.1319,0.6952,,,0.1709,0.0756,25.32
iou_word_sep,2.0,1.5,1.5,0.2218,0.3753,0.1319,0.6952,,,0.1709,0.0721,
window,2.0,1.5,1.5,0.2218,0.3753,0.1319,0.6952,0.3246,0.4384,,,
word,2.0,1.5,1.5,0.2218,0.3753,0.1319,0.6952,,,0.1709,,
iou,2.0,1.65,1.65,0.2193,0.3504,0.1295,0.7158,,,0.1757,0.0698,24.1
iou_word_sep,2.0,1.65,1.65,0.2193,0.3504,0.1295,0.7158,,,0.1757,0.0735,
window,2.0,1.65,1.65,0.2193,0.3504,0.1295,0.7158,0.3028,0.3934,,,
word,2.0,1.65,1.65,0.2193,0.3504,0.1295,0.7158,,,0.1757,,
iou,2.0,30.0%,0.3,0.2187,0.3632,0.1295,0.702,,,0.1947,0.0708,35.36
iou_word_sep,2.0,30.0%,0.3,0.2187,0.3632,0.1295,0.702,,,0.1947,0.0729,
window,2.0,30.0%,0.3,0.2187,0.3632,0.1295,0.702,0.2988,0.4052,,,
word,2.0,30.0%,0.3,0.2187,0.3632,0.1295,0.702,,,0.1947,,
iou,2.0,1.45,1.45,0.2184,0.371,0.1298,0.6882,,,0.1574,0.0809,26.84
iou_word_sep,2.0,1.45,1.45,0.2184,0.371,0.1298,0.6882,,,0.1574,0.0809,
window,2.0,1.45,1.45,0.2184,0.371,0.1298,0.6882,0.3143,0.4027,,,
word,2.0,1.45,1.45,0.2184,0.371,0.1298,0.6882,,,0.1574,,
iou,2.0,1.8,1.8,0.2183,0.3576,0.1282,0.7335,,,0.1868,0.0814,23.67
iou,2.0,90.0%,0.9,0.2183,0.3576,0.1282,0.7335,,,0.1868,0.0814,23.67
iou_word_sep,2.0,1.8,1.8,0.2183,0.3576,0.1282,0.7335,,,0.1868,0.0907,
iou_word_sep,2.0,90.0%,0.9,0.2183,0.3576,0.1282,0.7335,,,0.1868,0.0907,
window,2.0,1.8,1.8,0.2183,0.3576,0.1282,0.7335,0.3086,0.3959,,,
window,2.0,90.0%,0.9,0.2183,0.3576,0.1282,0.7335,0.3086,0.3959,,,
word,2.0,1.8,1.8,0.2183,0.3576,0.1282,0.7335,,,0.1868,,
word,2.0,90.0%,0.9,0.2183,0.3576,0.1282,0.7335,,,0.1868,,
iou,2.0,10.0%,0.1,0.2178,0.366,0.1291,0.6973,,,0.1928,0.0601,55.63
iou_word_sep,2.0,10.0%,0.1,0.2178,0.366,0.1291,0.6973,,,0.1928,0.0605,
window,2.0,10.0%,0.1,0.2178,0.366,0.1291,0.6973,0.3001,0.4031,,,
word,2.0,10.0%,0.1,0.2178,0.366,0.1291,0.6973,,,0.1928,,
iou,2.0,1.3,1.3,0.2173,0.3678,0.1287,0.6975,,,0.1663,0.0728,27.72
iou_word_sep,2.0,1.3,1.3,0.2173,0.3678,0.1287,0.6975,,,0.1663,0.0686,
window,2.0,1.3,1.3,0.2173,0.3678,0.1287,0.6975,0.3012,0.4006,,,
word,2.0,1.3,1.3,0.2173,0.3678,0.1287,0.6975,,,0.1663,,
iou,2.0,100.0%,1.0,0.2169,0.3609,0.1286,0.6921,,,0.1156,0.0741,18.78
iou,2.0,2.0,2.0,0.2169,0.3609,0.1286,0.6921,,,0.1156,0.0741,18.78
iou_word_sep,2.0,100.0%,1.0,0.2169,0.3609,0.1286,0.6921,,,0.1156,0.0711,
iou_word_sep,2.0,2,2.0,0.2169,0.3609,0.1286,0.6921,,,0.1156,0.0711,
window,2.0,100.0%,1.0,0.2169,0.3609,0.1286,0.6921,0.2973,0.3945,,,
window,2.0,2.0,2.0,0.2169,0.3609,0.1286,0.6921,0.2973,0.3945,,,
word,2.0,100.0%,1.0,0.2169,0.3609,0.1286,0.6921,,,0.1156,,
word,2.0,2.0,2.0,0.2169,0.3609,0.1286,0.6921,,,0.1156,,
iou,2.0,1.85,1.85,0.2167,0.3667,0.1282,0.6997,,,0.1744,0.0789,21.2
iou_word_sep,2.0,1.85,1.85,0.2167,0.3667,0.1282,0.6997,,,0.1744,0.0817,
window,2.0,1.85,1.85,0.2167,0.3667,0.1282,0.6997,0.3102,0.4034,,,
word,2.0,1.85,1.85,0.2167,0.3667,0.1282,0.6997,,,0.1744,,
iou,2.0,20.0%,0.2,0.2164,0.3643,0.1283,0.6913,,,0.1863,0.0723,42.32
iou_word_sep,2.0,20.0%,0.2,0.2164,0.3643,0.1283,0.6913,,,0.1863,0.0701,
window,2.0,20.0%,0.2,0.2164,0.3643,0.1283,0.6913,0.2999,0.4056,,,
word,2.0,20.0%,0.2,0.2164,0.3643,0.1283,0.6913,,,0.1863,,
iou,2.0,1.4,1.4,0.2161,0.3681,0.128,0.6939,,,0.1682,0.0743,27.66
iou,2.0,70.0%,0.7,0.2161,0.3681,0.128,0.6939,,,0.1682,0.0743,27.66
iou_word_sep,2.0,1.4,1.4,0.2161,0.3681,0.128,0.6939,,,0.1682,0.0721,
iou_word_sep,2.0,70.0%,0.7,0.2161,0.3681,0.128,0.6939,,,0.1682,0.0721,
window,2.0,1.4,1.4,0.2161,0.3681,0.128,0.6939,0.2963,0.3889,,,
window,2.0,70.0%,0.7,0.2161,0.3681,0.128,0.6939,0.2963,0.3889,,,
word,2.0,1.4,1.4,0.2161,0.3681,0.128,0.6939,,,0.1682,,
word,2.0,70.0%,0.7,0.2161,0.3681,0.128,0.6939,,,0.1682,,
iou,2.0,1.2,1.2,0.215,0.3615,0.1274,0.6885,,,0.1548,0.0741,27.67
iou,2.0,60.0%,0.6,0.215,0.3615,0.1274,0.6885,,,0.1548,0.0741,27.67
iou_word_sep,2.0,1.2,1.2,0.215,0.3615,0.1274,0.6885,,,0.1548,0.0647,
iou_word_sep,2.0,60.0%,0.6,0.215,0.3615,0.1274,0.6885,,,0.1548,0.0647,
window,2.0,1.2,1.2,0.215,0.3615,0.1274,0.6885,0.2941,0.4022,,,
window,2.0,60.0%,0.6,0.215,0.3615,0.1274,0.6885,0.2941,0.4022,,,
word,2.0,1.2,1.2,0.215,0.3615,0.1274,0.6885,,,0.1548,,
word,2.0,60.0%,0.6,0.215,0.3615,0.1274,0.6885,,,0.1548,,
iou,2.0,1.75,1.75,0.2129,0.3686,0.1261,0.6818,,,0.1926,0.0763,22.6
iou_word_sep,2.0,1.75,1.75,0.2129,0.3686,0.1261,0.6818,,,0.1926,0.0776,
window,2.0,1.75,1.75,0.2129,0.3686,0.1261,0.6818,0.32,0.3958,,,
word,2.0,1.75,1.75,0.2129,0.3686,0.1261,0.6818,,,0.1926,,
iou,2.0,1.15,1.15,0.2123,0.3626,0.1256,0.686,,,0.154,0.0728,29.86
iou_word_sep,2.0,1.15,1.15,0.2123,0.3626,0.1256,0.686,,,0.154,0.0635,
window,2.0,1.15,1.15,0.2123,0.3626,0.1256,0.686,0.3036,0.406,,,
word,2.0,1.15,1.15,0.2123,0.3626,0.1256,0.686,,,0.154,,
iou,2.0,1.05,1.05,0.211,0.3653,0.1252,0.6717,,,0.1666,0.0615,29.19
iou_word_sep,2.0,1.05,1.05,0.211,0.3653,0.1252,0.6717,,,0.1666,0.0595,
window,2.0,1.05,1.05,0.211,0.3653,0.1252,0.6717,0.3095,0.4106,,,
word,2.0,1.05,1.05,0.211,0.3653,0.1252,0.6717,,,0.1666,,
iou,2.0,1.1,1.1,0.2104,0.3545,0.124,0.6944,,,0.1519,0.0662,30.12
iou_word_sep,2.0,1.1,1.1,0.2104,0.3545,0.124,0.6944,,,0.1519,0.0636,
window,2.0,1.1,1.1,0.2104,0.3545,0.124,0.6944,0.2906,0.3906,,,
word,2.0,1.1,1.1,0.2104,0.3545,0.124,0.6944,,,0.1519,,
iou,2.0,1.6,1.6,0.2098,0.3683,0.1247,0.6615,,,0.1868,0.0754,24.58
iou,2.0,80.0%,0.8,0.2098,0.3683,0.1247,0.6615,,,0.1868,0.0754,24.58
iou_word_sep,2.0,1.6,1.6,0.2098,0.3683,0.1247,0.6615,,,0.1868,0.0754,
iou_word_sep,2.0,80.0%,0.8,0.2098,0.3683,0.1247,0.6615,,,0.1868,0.0754,
window,2.0,1.6,1.6,0.2098,0.3683,0.1247,0.6615,0.3257,0.4419,,,
window,2.0,80.0%,0.8,0.2098,0.3683,0.1247,0.6615,0.3257,0.4419,,,
word,2.0,1.6,1.6,0.2098,0.3683,0.1247,0.6615,,,0.1868,,
word,2.0,80.0%,0.8,0.2098,0.3683,0.1247,0.6615,,,0.1868,,
iou,2.0,40.0%,0.4,0.2092,0.3613,0.1238,0.6727,,,0.1868,0.0691,30.36
iou_word_sep,2.0,40.0%,0.4,0.2092,0.3613,0.1238,0.6727,,,0.1868,0.0716,
window,2.0,40.0%,0.4,0.2092,0.3613,0.1238,0.6727,0.2952,0.417,,,
word,2.0,40.0%,0.4,0.2092,0.3613,0.1238,0.6727,,,0.1868,,
iou,2.0,1.55,1.55,0.206,0.3605,0.122,0.6608,,,0.1678,0.0632,22.81
iou_word_sep,2.0,1.55,1.55,0.206,0.3605,0.122,0.6608,,,0.1678,0.0644,
window,2.0,1.55,1.55,0.206,0.3605,0.122,0.6608,0.2702,0.4144,,,
word,2.0,1.55,1.55,0.206,0.3605,0.122,0.6608,,,0.1678,,
iou,2.0,1.35,1.35,0.2057,0.3593,0.1214,0.6741,,,0.161,0.0689,27.41
iou_word_sep,2.0,1.35,1.35,0.2057,0.3593,0.1214,0.6741,,,0.161,0.0699,
window,2.0,1.35,1.35,0.2057,0.3593,0.1214,0.6741,0.315,0.3974,,,
word,2.0,1.35,1.35,0.2057,0.3593,0.1214,0.6741,,,0.161,,
