Evaluation_Method,Window_Size_seconds,Stride,Stride_Numeric,Binary_F1_Score,Binary_Accuracy,Binary_Precision,Binary_Recall,Multiclass_F1_Score,Multiclass_Accuracy,Word_Level_F1_Score,IoU_F1_Score,Mean_IoU_Percentage
iou,0.6,0.3,0.3,0.0867,0.2052,0.0457,0.845,,,0.0757,0.0405,35.26
iou,0.6,50.0%,0.5,0.0867,0.2052,0.0457,0.845,,,0.0757,0.0405,35.26
iou_word_sep,0.6,0.3,0.3,0.0867,0.2052,0.0457,0.845,,,0.0757,0.0392,
iou_word_sep,0.6,50.0%,0.5,0.0867,0.2052,0.0457,0.845,,,0.0757,0.0392,
window,0.6,0.3,0.3,0.0867,0.2052,0.0457,0.845,0.4115,0.4886,,,
window,0.6,50.0%,0.5,0.0867,0.2052,0.0457,0.845,0.4115,0.4886,,,
word,0.6,0.3,0.3,0.0867,0.2052,0.0457,0.845,,,0.0757,,
word,0.6,50.0%,0.5,0.0867,0.2052,0.0457,0.845,,,0.0757,,
iou,0.6,0.45,0.45,0.0859,0.206,0.0452,0.8657,,,0.0865,0.0438,32.67
iou_word_sep,0.6,0.45,0.45,0.0859,0.206,0.0452,0.8657,,,0.0865,0.0453,
window,0.6,0.45,0.45,0.0859,0.206,0.0452,0.8657,0.4152,0.4926,,,
word,0.6,0.45,0.45,0.0859,0.206,0.0452,0.8657,,,0.0865,,
iou,0.6,90.0%,0.9,0.0854,0.2093,0.045,0.8503,,,0.0899,0.043,28.81
iou_word_sep,0.6,90.0%,0.9,0.0854,0.2093,0.045,0.8503,,,0.0899,0.0434,
window,0.6,90.0%,0.9,0.0854,0.2093,0.045,0.8503,0.4225,0.4985,,,
word,0.6,90.0%,0.9,0.0854,0.2093,0.045,0.8503,,,0.0899,,
iou,0.6,0.35,0.35,,,,,,,,,
iou,0.7,80.0%,0.8,0.1056,0.2354,0.0562,0.8643,,,0.0911,0.0478,31.13
iou_word_sep,0.7,80.0%,0.8,0.1056,0.2354,0.0562,0.8643,,,0.0911,0.0488,
